id_orden	cve_entidad	des_entidad	cve_del	des_del	cve_sdel	des_sdel	cve_municipio	des_municipio	cve_patron	cve_mod	ta	tp	te	year	month	month2
1	1	AGUASCALIENTES	1	AGUASCALIENTES	1	AGUASCALIENTES NORTE	A01	AGUASCALIENTES	1	16	11	11	0	22	5	mayo
2	1	AGUASCALIENTES	1	AGUASCALIENTES	1	AGUASCALIENTES NORTE	A01	AGUASCALIENTES	2	16	16	16	0	22	5	mayo
3	1	AGUASCALIENTES	1	AGUASCALIENTES	1	AGUASCALIENTES NORTE	A01	AGUASCALIENTES	3	16	2	2	0	22	5	mayo
4	1	AGUASCALIENTES	1	AGUASCALIENTES	1	AGUASCALIENTES NORTE	A01	AGUASCALIENTES	4	16	4	4	0	22	5	mayo
5	1	AGUASCALIENTES	1	AGUASCALIENTES	1	AGUASCALIENTES NORTE	A01	AGUASCALIENTES	5	16	2	2	0	22	5	mayo
6	1	AGUASCALIENTES	1	AGUASCALIENTES	1	AGUASCALIENTES NORTE	A01	AGUASCALIENTES	6	16	10	10	0	22	5	mayo
7	1	AGUASCALIENTES	1	AGUASCALIENTES	1	AGUASCALIENTES NORTE	A01	AGUASCALIENTES	7	16	6	6	0	22	5	mayo
8	1	AGUASCALIENTES	1	AGUASCALIENTES	1	AGUASCALIENTES NORTE	A01	AGUASCALIENTES	8	16	278	267	11	22	5	mayo
9	1	AGUASCALIENTES	1	AGUASCALIENTES	1	AGUASCALIENTES NORTE	A01	AGUASCALIENTES	9	16	6	6	0	22	5	mayo
10	1	AGUASCALIENTES	1	AGUASCALIENTES	1	AGUASCALIENTES NORTE	A01	AGUASCALIENTES	10	16	2	2	0	22	5	mayo
10054	1	AGUASCALIENTES	1	AGUASCALIENTES	19	AGUASCALIENTES SUR	A01	AGUASCALIENTES	11	16	26	10	16	22	5	mayo
10055	1	AGUASCALIENTES	1	AGUASCALIENTES	19	AGUASCALIENTES SUR	A01	AGUASCALIENTES	12	16	10	10	0	22	5	mayo
10056	1	AGUASCALIENTES	1	AGUASCALIENTES	19	AGUASCALIENTES SUR	A01	AGUASCALIENTES	13	16	30	27	3	22	5	mayo
10057	1	AGUASCALIENTES	1	AGUASCALIENTES	19	AGUASCALIENTES SUR	Y45	AGUASCALIENTES SUR	14	16	7	7	0	22	5	mayo
10058	1	AGUASCALIENTES	1	AGUASCALIENTES	19	AGUASCALIENTES SUR	A01	AGUASCALIENTES	15	16	60	60	0	22	5	mayo
10059	1	AGUASCALIENTES	1	AGUASCALIENTES	19	AGUASCALIENTES SUR	A01	AGUASCALIENTES	16	16	36	36	0	22	5	mayo
10060	1	AGUASCALIENTES	1	AGUASCALIENTES	19	AGUASCALIENTES SUR	Y45	AGUASCALIENTES SUR	17	16	1	1	0	22	5	mayo
10061	1	AGUASCALIENTES	1	AGUASCALIENTES	19	AGUASCALIENTES SUR	A01	AGUASCALIENTES	18	16	1641	797	844	22	5	mayo
10062	1	AGUASCALIENTES	1	AGUASCALIENTES	19	AGUASCALIENTES SUR	A01	AGUASCALIENTES	19	16	1	1	0	22	5	mayo
10063	1	AGUASCALIENTES	1	AGUASCALIENTES	19	AGUASCALIENTES SUR	A01	AGUASCALIENTES	20	16	19	19	0	22	5	mayo
15917	1	BAJA CALIFORNIA	2	BAJA CALIFORNIA	3	ENSENADA	A04	RINCON DE ROMOS	21	16	7	7	0	22	5	mayo
15918	1	BAJA CALIFORNIA	2	BAJA CALIFORNIA	3	ENSENADA	A04	RINCON DE ROMOS	22	16	5	5	0	22	5	mayo
15919	1	BAJA CALIFORNIA	2	BAJA CALIFORNIA	3	ENSENADA	A04	RINCON DE ROMOS	23	16	3	3	0	22	5	mayo
15920	1	BAJA CALIFORNIA SUR	3	BAJA CALIFORNIA SUR	1	LA PAZ	A04	RINCON DE ROMOS	24	16	96	83	13	22	5	mayo
15921	2	BAJA CALIFORNIA	2	BAJA CALIFORNIA	1	MEXICALI	A06	MEXICALI	25	16	34	34	0	22	5	mayo
15922	2	BAJA CALIFORNIA	2	BAJA CALIFORNIA	1	MEXICALI	A06	MEXICALI	26	16	131	131	0	22	5	mayo
15923	2	BAJA CALIFORNIA	2	BAJA CALIFORNIA	1	MEXICALI	A06	MEXICALI	27	16	7	7	0	22	5	mayo
15924	2	BAJA CALIFORNIA	2	BAJA CALIFORNIA	1	MEXICALI	A06	MEXICALI	28	16	42	42	0	22	5	mayo
15925	2	BAJA CALIFORNIA	2	BAJA CALIFORNIA	1	MEXICALI	A06	MEXICALI	29	16	5	5	0	22	5	mayo
15926	2	BAJA CALIFORNIA	2	BAJA CALIFORNIA	1	MEXICALI	A06	MEXICALI	30	16	4	4	0	22	5	mayo
15927	2	BAJA CALIFORNIA	2	BAJA CALIFORNIA	1	MEXICALI	A06	MEXICALI	31	16	54	16	38	22	5	mayo
15928	2	BAJA CALIFORNIA	2	BAJA CALIFORNIA	1	MEXICALI	A06	MEXICALI	32	16	209	196	13	22	5	mayo
15929	2	BAJA CALIFORNIA	2	BAJA CALIFORNIA	1	MEXICALI	A06	MEXICALI	33	16	7	7	0	22	5	mayo
15930	2	BAJA CALIFORNIA	2	BAJA CALIFORNIA	1	MEXICALI	A06	MEXICALI	34	16	2673	2673	0	22	5	mayo
20278	2	BAJA CALIFORNIA	2	BAJA CALIFORNIA	2	TECATE	A07	TECATE	35	16	2	2	0	22	5	mayo
20279	2	BAJA CALIFORNIA	2	BAJA CALIFORNIA	2	TECATE	A07	TECATE	36	16	4	4	0	22	5	mayo
20280	2	BAJA CALIFORNIA	2	BAJA CALIFORNIA	2	TECATE	A07	TECATE	37	16	1	1	0	22	5	mayo
20281	2	BAJA CALIFORNIA	2	BAJA CALIFORNIA	2	TECATE	A07	TECATE	38	16	233	179	54	22	5	mayo
20282	2	BAJA CALIFORNIA	2	BAJA CALIFORNIA	2	TECATE	A07	TECATE	39	16	41	41	0	22	5	mayo
20283	2	BAJA CALIFORNIA	2	BAJA CALIFORNIA	2	TECATE	A07	TECATE	40	16	8	8	0	22	5	mayo
